放射線医学,4,19,3,1
整形外科学・スポーツ医学,4,19,4,1
漢方医学,4,27,4,1
産婦人科学,5,18,4,1
歯科学,5,23,4,1
外科学特論,5,24,4,1
小児科学・小児外科学,5,27,2,1
泌尿器科学,6,9,4,1
脳神経外科,6,10,2,1
形成外科,6,17,2,1
皮膚科学,6,29,2,1
眼科,7,4,4,1
リハビリテーション医学,7,8,2,1
核医学,7,19,4,1
耳鼻咽喉科学,7,20,2,1
